Gene	Level_1	Level_2	Gp	c1	c2	c3	c4	c5	c6	c7	c8	c9	c10	c11	c12	c13	c14	c15	c16	c17	
YNR016c	1	16	-0.75696	0.62268	1.98986	0.94034	1.82169	-0.35833	-0.45487	-0.95316	-1.19919	1.20505	0.45762	-0.09361	-1.10576	-0.55453	-0.84416	-0.24621	-0.47044		
YGR109c	2	21	-0.37784	0.55571	2.98645	0.43241	-0.75361	-0.69489	-0.55398	-0.88278	-0.78884	0.90212	1.20156	0.34434	-0.26628	-0.2428	-0.56572	-0.74186	-0.55398		
YPR120c	2	21	-0.52357	0.094	2.78305	0.54817	-0.25494	-0.3851	-0.78666	-0.5208	-0.8199	1.26267	1.58945	-0.29925	-0.28818	-0.26048	-0.67035	-0.79497	-0.67312		
YDL127w	2	21	-0.93147	1.26476	1.94147	-0.27322	-0.49469	-0.42702	-0.90687	-1.07297	-0.40856	0.76031	2.1814	0.64342	-0.12557	-0.17479	-0.77768	-0.62388	-0.57466		
YNL289w	2	21	-1.15003	0.68249	2.27427	1.87184	-0.03614	-0.35953	-0.59309	-0.92725	-1.0099	-0.09363	1.01666	0.68609	0.03572	-0.24095	-0.5356	-0.7943	-0.82664		
YPL256c	2	21	-1.00453	1.16378	2.76002	0.5788	-0.13536	-0.33466	-0.46384	-0.65207	-1.26658	-0.36603	0.55111	1.17116	0.08424	-0.27746	-0.55795	-0.22394	-1.02668		
YMR199w	2	21	-1.85329	0.25511	0.95869	0.86692	0.14451	0.17981	-0.51672	-0.86027	-1.44385	0.50689	2.19643	1.06223	0.12333	0.32335	-0.39435	-0.75909	-0.78968		
YJL187c	2	21	-1.08147	-0.51034	2.07335	1.611	0.60473	-0.14318	-0.68712	-0.89109	-0.98628	0.15598	1.18946	1.08067	0.35996	-0.26557	-0.53753	-0.91829	-1.05427		
YDL003w	2	22	-1.13183	0.04638	2.19693	0.90265	-0.19671	-0.53397	-0.77267	-0.93911	-1.08365	0.61577	1.76988	1.11946	0.0858	-0.14634	-0.47265	-0.81866	-0.64128		
YMR076c	2	22	-1.10268	-0.4079	2.19009	1.40339	0.34636	-0.1754	-0.58362	-0.881	-1.18378	0.84378	1.24389	0.98977	-0.23488	-0.16189	-0.4863	-0.84315	-0.95669		
YKL042w	2	22	-1.24551	-0.45519	1.82024	0.47409	-0.26412	-0.11648	-0.83732	-0.92417	-0.92417	0.76069	2.10684	1.07334	0.39593	0.30039	-0.35965	-0.76784	-1.03707		
YFL008w	2	22	-0.87605	0.05312	2.33024	1.30946	-0.15627	-0.88914	-0.84988	-1.00692	-0.86297	0.38029	1.51885	0.7729	0.40646	0.01386	-0.54888	-0.82371	-0.77136		
YPL241c	2	22	-1.38305	-0.95091	2.01009	1.36987	-0.10262	-0.29469	-0.48675	-0.87088	-0.82286	0.2655	1.754	0.47357	0.47357	0.23349	-0.23067	-1.33504	-0.10262		
YMR078c	2	22	-0.82702	0.33987	2.08454	1.25752	-0.10196	-0.32854	-0.71373	-1.06493	-0.88366	0.52114	1.16689	1.43879	0.44183	-0.71373	-0.72506	-0.88366	-1.00828		
YLR212c	2	22	-1.64035	-0.33711	1.48408	0.36463	-0.53761	-0.60444	-0.85506	-0.37053	0.14742	0.73221	2.16911	1.43395	0.48159	-0.53761	-0.25357	-0.95531	-0.7214		
YNL225c	2	22	-2.14185	-0.39895	0.643	-0.039	-0.39895	-0.81573	-0.53156	-1.04307	-0.47473	-0.00111	1.13556	2.31013	0.58617	1.09767	0.41567	-0.09584	-0.24739		
YPL209c	2	22	-0.65282	-0.32055	2.53702	2.00538	0.60982	0.51014	-0.55314	-1.01832	-0.78573	0.01173	0.07818	-0.05473	-0.22087	0.24432	-0.28732	-1.11801	-0.9851		
YJL074c	2	22	-0.81087	-0.19448	1.72941	0.59002	-0.53069	-0.25051	-0.92294	-0.92294	-0.53069	0.0857	1.87884	1.97223	0.45927	-0.36258	-0.3439	-1.07237	-0.77351		
YNL233w	2	23	-0.43997	0.66325	2.85098	0.74739	-0.42127	-0.47736	-0.79524	-0.80459	-0.48671	-0.21558	1.25226	1.01852	-0.10339	-0.56151	-0.96353	-0.46801	-0.79524		
YLR313c	2	23	-0.46611	0.42952	3.01689	1.13856	0.01902	-0.44123	-0.66514	-0.98856	-0.5905	-0.47855	0.84002	0.3922	0.50416	-0.50342	-0.82685	-0.64026	-0.73977		
YGR041w	2	23	-0.57187	-0.26687	1.10561	-0.38125	-0.68624	-0.26687	-0.87687	-1.18186	-0.80062	0.60999	2.09686	1.82998	1.14374	0.11437	-0.80062	-0.87687	-0.19062		
YGR152c	2	23	-0.75203	0.3301	2.3603	1.35478	-0.38813	-0.62754	-0.69457	-1.0872	-0.68499	0.38756	1.19198	1.26859	-0.06253	-0.21575	-0.53177	-0.82864	-1.02017		
YDR507c	2	23	-1.35282	-0.5984	1.70173	0.57178	0.49801	0.00513	-0.91023	-1.06782	-0.88676	0.30354	1.87943	1.58102	-0.03846	0.20295	-0.56152	-0.99741	-0.33017		
YLR286c	2	23	-0.34287	0.87069	-0.5842	-1.0186	-0.95195	-0.54053	-0.61178	-0.92437	-1.11284	1.05686	2.61748	1.10283	0.29609	0.63855	0.29149	-0.4463	-0.34057		
YIL159w	2	23	-0.97787	1.22604	2.48542	0.69081	0.31299	0.18705	-0.06482	-0.28521	0.0926	-0.03334	1.13159	0.12409	-0.66302	-0.75748	-0.72599	-1.54459	-1.19826		
YGL027c	2	23	-0.83742	-1.11775	1.13711	1.51495	0.68614	-0.42301	-0.59365	-0.69116	-1.069	0.92991	1.40526	1.42964	0.68614	-0.65459	-0.55708	-1.069	-0.77648		
YML102w	2	24	-0.55689	0.20787	2.76585	1.05174	-0.26022	-0.62282	-0.81401	-0.85357	-0.56349	1.39456	0.74847	0.34631	-0.41185	-0.04266	-0.78105	-0.68875	-0.91949		
YPR018w	2	24	0.35913	0.66168	2.98119	0.92543	-0.66487	-0.51748	-0.99069	-0.99844	-0.29251	0.76252	0.72374	-0.23045	-0.09081	-0.65711	-0.68814	-0.74245	-0.54075		
YBL035c	2	24	-0.65777	0.75872	2.79727	0.0917	-0.28303	-0.54535	-0.64278	-0.8901	-0.7477	0.95358	1.32832	0.5039	-0.0507	-0.14813	-0.67275	-0.8826	-0.91258		
YNL102w	2	24	-0.67616	-0.18785	2.34156	1.47238	-0.05113	-0.50037	-0.91054	-1.13516	-0.79335	-0.04136	1.47238	0.84735	0.46647	-0.08043	-0.56873	-0.98867	-0.66639		
YBR278w	2	24	-0.65946	0.45818	3.08894	1.05999	-0.88299	-0.41874	-0.86579	-0.71104	-0.79702	0.49257	0.83646	0.20027	-0.05765	-0.60788	-0.24679	-0.57349	-0.31557		
YPR175w	2	24	-0.22573	1.00572	2.70592	0.52109	-0.42435	-0.63886	-0.56735	-0.8772	-0.71036	1.08517	1.27585	-0.42435	-0.10655	-0.17011	-0.78186	-1.09171	-0.5753		
YNL262w	2	24	-0.57025	-0.65111	1.08289	0.81336	-0.0761	-0.68705	-0.90268	-1.1183	-0.58822	1.88251	1.90946	0.8493	0.62469	-0.03118	-0.82181	-1.05541	-0.66009		
YBR088c	2	24	-0.75935	-0.10443	1.94497	0.91322	0.16157	-0.71301	-0.90444	-1.11402	-1.15432	1.14294	1.52985	1.2437	0.16761	-0.31602	-0.40469	-0.97497	-0.6586		
YLR103c	2	24	-0.79051	0.14875	2.78991	1.00371	0.3374	-0.34897	-0.58981	-1.02331	-0.88283	0.53007	0.94752	0.80703	0.05242	-0.58981	-0.59382	-0.93501	-0.86276		
YAR007c	2	24	-0.80204	-0.22714	2.63205	0.3681	-0.56292	-0.84274	-0.75116	-0.9801	-0.76642	0.86159	1.24315	1.04983	0.56651	0.19003	-0.57818	-0.84274	-0.55783		
YNL312w	2	24	-0.6022	-0.09881	2.22014	1.25863	0.22641	-0.50605	-0.99529	-1.22436	-0.96135	0.35932	1.17096	1.44245	0.17267	-0.20062	-0.61917	-0.75208	-0.89065		
YJL173c	2	24	-1.23217	-0.9121	1.38471	1.66329	1.18615	-0.18008	-0.91506	-1.28848	-0.94174	1.10613	0.55193	1.1654	-0.30752	0.39486	-0.36976	-0.56239	-0.74317		
YER070w	2	24	-1.11867	0.92995	2.48092	0.7077	-0.14751	-0.5437	-0.90125	-1.06069	-1.08002	0.11823	0.9831	1.03625	0.61106	0.01677	-0.64034	-0.70798	-0.68382		
YOR074c	2	24	-0.89594	0.36829	1.78302	1.39171	0.30809	-0.29392	-0.86584	-0.86584	-0.83574	-0.56483	1.06061	1.30141	1.27131	-0.32402	-0.83574	-1.04644	-0.95614		
YDL164c	2	24	-0.84522	-0.1344	2.20624	0.59673	-0.58628	-0.71321	-0.84522	-1.06862	-0.81984	1.24155	1.81528	0.77444	0.07377	0.18039	-0.57105	-0.72844	-0.57612		
YKL045w	2	24	-0.96175	-0.02982	3.11415	1.29126	-0.51626	-0.03494	-0.48042	-0.92078	-0.63404	-0.39337	-0.06566	0.61024	0.20572	0.58464	-0.57771	-0.56747	-0.62379		
YBR252w	2	24	-1.6211	0.12327	1.94033	0.57148	-0.0766	-1.01541	-0.04632	-0.9185	-1.42122	1.86764	0.75319	0.46851	-0.84582	0.13539	0.42612	-0.40973	0.06876		
YLR032w	2	25	0.2653	0.03589	2.56848	0.54058	-0.26692	-0.6569	-0.73031	-0.45502	-0.95053	0.90303	1.74723	0.36623	-0.63854	-0.09716	-0.55137	-1.09276	-0.98723		
YML060w	2	25	-0.55579	0.35126	2.75925	1.2691	0.45924	-0.02668	-0.32903	-0.60978	-0.80415	-0.31823	0.86957	0.54563	0.1245	-0.55579	-0.73936	-1.18208	-1.25767		
YDR097c	2	25	-0.73086	-0.59109	2.23369	0.90222	0.01212	-0.47339	-0.73086	-0.92212	-0.86327	0.43142	1.57163	1.51278	0.17395	-0.16443	-0.62787	-1.03982	-0.69408		
YNL082w	2	25	-0.79613	-0.04694	0.97911	-0.01437	-0.63326	-1.073	-1.25215	-1.33358	-0.51925	0.94654	2.07031	1.85859	0.47423	0.22993	-0.4704	-0.29124	-0.12838		
YOL090w	2	25	-0.70334	-0.27324	1.06007	0.33965	-0.23023	-0.85387	-0.7571	-1.16569	-0.81086	0.1031	2.21058	1.93101	0.52244	0.50094	-0.1227	-1.12268	-0.62807		
YLR383w	2	25	-0.25831	-0.40997	2.66265	1.21206	0.68457	-0.42315	-0.33744	-1.16164	-0.94405	0.05159	0.80326	0.95491	-0.28469	0.01202	-0.35722	-1.04955	-1.15504		
YKL113c	2	25	-0.95856	-0.16308	2.26669	1.53028	0.32524	-0.6002	-0.87587	-0.99401	-0.71047	0.60484	0.77023	1.25855	0.36462	-0.35604	-0.71441	-0.93887	-0.80892		
YLR234w	2	25	-0.42083	-0.96851	2.83101	0.9826	-0.35237	-0.79736	-0.7289	-0.93428	-0.52352	1.01683	0.33223	0.87991	0.57184	-0.42083	-0.3866	-0.14699	-0.93428		
YPL153c	2	25	-0.50845	0.33675	2.99632	0.82134	-0.1591	-0.33941	-0.90287	-0.91414	-0.76764	0.07756	0.88895	0.87768	0.13391	-0.23798	-0.47464	-1.08318	-0.7451		
YDL101c	2	25	-1.79616	-0.8362	1.98238	0.96115	-0.10092	-0.09071	-0.13156	-0.43793	-0.87705	-0.51962	1.8292	0.665	0.4199	0.33821	-0.15198	0.10332	-1.35703		
YHR038W	2	25	1.32204	0.50071	-0.61929	-1.57129	-1.08596	-1.42196	-0.63796	-0.63796	0.70604	1.41537	1.7327	0.76204	-0.74996	0.07137	0.59404	-0.02196	-0.35796		
YML021C	2	25	-0.85912	0.05225	1.63273	1.69041	-0.21308	-0.54764	-0.82451	-0.68607	-1.15906	0.16762	1.70195	1.17128	0.27144	0.13301	-0.35152	-1.02063	-1.15906		
YML061c	2	25	0.01725	0.17391	2.60813	1.23034	0.12972	0.06947	-0.56921	-0.58528	-1.25208	-0.25992	1.01343	0.04135	-0.30812	0.6479	-0.22376	-1.34045	-1.39267		
YMR179w	2	26	-0.73393	0.17702	2.03346	0.00111	-1.0135	-0.21249	-0.4418	-0.79047	-0.76534	0.86808	2.51721	0.59165	-0.25019	-0.04601	-0.47321	-0.83131	-0.63027		
YML027w	2	26	-1.13943	0.83846	2.34284	0.21885	-0.42241	-0.10584	-0.59558	-0.8905	-1.05826	0.73564	1.87746	0.50024	-0.15454	0.01592	-0.45759	-0.83098	-0.87427		
YPL127c	2	26	-1.56555	-1.35378	1.26035	1.30998	1.36954	0.82025	-0.41402	-0.82102	-1.31738	-0.80448	-0.00701	1.04857	0.36029	0.68789	0.10219	0.2511	-0.92691		
YGL089c	2	27	-1.12876	0.04777	-0.33749	-0.86204	-1.18803	-0.91835	-1.19692	-1.10801	-0.61014	1.04351	1.26874	1.00795	0.13667	0.39154	0.69382	0.9309	1.82885		
YPL187w	2	27	-0.14428	0.03157	0.43816	-0.5092	-1.08859	-0.93713	-1.13331	-0.682	-0.21747	3.18468	0.84374	-0.127	-0.28659	-0.16664	-0.25813	0.34363	0.70854		
YDL227c	2	27	-0.95899	-0.66293	1.5032	-0.01161	-0.80602	-0.57905	-0.62839	-0.72708	-0.79122	0.56076	2.45058	1.57722	0.35352	0.26964	-0.37674	-0.66293	-0.50997		
YNL173c	2	27	1.9095	-0.16517	-1.47079	-1.16674	-0.57653	-0.71961	-0.93424	-1.13097	-0.14729	0.74697	1.65911	1.37295	0.28195	-0.11152	-0.27249	0.08522	0.63966		
YLL021w	2	27	-1.67799	-0.89402	1.68061	0.96791	1.64498	0.80755	0.37993	-1.01874	-1.0811	-0.47531	0.49575	0.21957	0.70956	0.18394	-0.06551	-0.72475	-1.15237		
YLR382c	2	28	1.03528	0.61465	2.0979	-0.42583	-0.55866	-0.293	-0.42583	-1.13425	-1.11211	-0.31514	1.41162	1.01314	0.65893	-1.75411	-0.27086	-0.18231	-0.35942		
YJL196c	2	29	-0.07174	-0.06536	2.16952	0.89245	-1.15087	-1.17641	-1.52122	-1.45098	-0.7869	0.50294	1.46075	0.22837	0.16452	0.06874	0.01127	0.305	0.41993		
YJR148w	2	29	-0.02906	-0.14401	0.64202	-0.56343	-1.19101	-1.68189	-1.56694	-1.06674	0.01444	2.10844	0.53328	0.98998	0.39036	0.02065	0.02376	0.31891	1.20125		
YOR317w	2	29	0.56053	-1.22931	-1.36376	-1.00243	-1.22091	-1.10327	-1.11167	-0.54867	0.4765	1.19916	1.64452	1.07312	0.63616	0.42608	0.35886	0.37567	0.82943		
YDR113c	3	32	-1.10658	-0.61428	0.885	1.28034	2.04117	1.07894	-0.5919	-0.86789	-1.17372	-1.00216	0.01974	0.885	0.71344	0.43746	-0.18165	-0.80822	-0.9947		
YNL126w	3	32	-0.33677	-0.25877	0.38082	1.16081	1.25441	1.8004	0.64601	-0.63317	-1.08556	-1.67835	-0.83596	-0.16517	1.12961	0.73961	-0.05598	-1.13236	-0.92956		
YEL061c	3	32	-1.11905	-0.79778	0.51025	1.33638	1.70355	1.1528	0.39551	-0.26998	-1.18789	-1.50917	-0.79778	-0.13229	1.12985	0.99216	0.0054	-0.66009	-0.75188		
YHR172w	3	32	-0.70615	0.12617	1.72678	1.79081	0.86245	1.34264	0.19019	-0.86622	-0.93024	-0.8342	-0.35402	-0.19396	0.70239	0.31824	-0.73817	-0.96225	-1.47445		
YPR141c	3	32	-0.64054	-0.85859	0.85859	2.27596	1.55365	1.39011	0.16354	-0.50425	-0.92674	-1.00851	-0.62691	-0.42248	0.43611	0.23168	-0.13628	-0.94037	-0.84497		
YLR045c	3	32	-1.64677	-1.61786	-0.16269	0.34806	2.1116	1.07082	0.61789	-0.25906	-0.76981	-1.32875	-0.27834	0.11678	0.84918	0.77208	0.71426	-0.11451	-0.42289		
YGR140w	3	32	-0.88064	-0.62014	1.86223	1.20333	1.34124	1.41785	0.16135	-0.74273	-1.04919	-0.95725	-0.43626	0.05408	0.60572	0.65169	-0.5895	-0.74273	-1.27904		
YBL063w	3	32	-1.11583	-1.37589	0.0162	0.70459	2.41793	0.91876	0.24566	-0.6416	-0.58041	-1.48297	-0.41214	0.70459	1.14822	0.45983	-0.13678	-0.24386	-0.6263		
YDR488c	3	32	-1.32845	-0.31438	0.83673	1.63155	-0.42401	0.31599	-0.61586	-1.4929	-0.45142	-0.20475	0.67229	1.49451	1.38488	0.91895	-0.7803	-1.16401	-0.47882		
YMR198w	3	32	-1.7632	-1.06307	-1.98199	-0.49421	0.68726	0.84042	0.29344	0.92793	0.46847	-0.60361	-0.73488	0.07465	1.49679	0.40283	0.07465	1.38739	-0.01287		
YOR026w	3	32	-1.81912	-0.04586	2.81276	0.67262	0.35924	-0.19108	-0.15287	-0.07643	-0.47389	-0.12229	0.5809	1.29937	-0.34395	-0.42803	-0.51211	-0.57325	-0.98599		
YDR356w	3	32	-1.31906	-1.03499	-0.04073	0.63394	1.71697	1.87676	-0.5201	-0.83969	-0.73316	-0.9107	0.29661	1.02454	1.13107	0.52741	-0.25379	-0.73316	-0.82193		
YIL140w	3	33	-0.53322	-0.61812	2.29658	1.68346	0.28742	-0.08046	-0.75018	-0.99543	-1.09919	-0.55209	0.67416	1.19296	0.78735	-0.14648	-0.61812	-0.75961	-0.76904		
YKL067w	3	34	-0.44788	-0.8216	0.1108	0.97149	0.4581	-1.20287	-1.49731	-1.86348	-0.69325	0.83181	0.3071	2.01714	0.86956	-0.02509	-0.16099	0.46942	0.67704		
YJR006w	3	34	-0.55181	-0.65137	2.35754	1.1407	0.37741	0.51016	0.16723	-0.45225	-0.18676	-1.07173	-1.9567	1.16283	0.65397	0.15617	-0.46331	-0.7288	-0.46331		
YBL003c	3	34	-1.27887	-1.59422	0.34241	0.6318	1.97668	-0.97465	-0.09351	-0.66671	-1.23806	-0.38475	0.29047	0.93416	0.0048	0.57058	1.64649	0.30902	-0.47565		
YBL002w	3	34	-1.62991	-1.3323	0.17743	1.00825	1.63447	-0.71539	-0.56968	-0.70144	-1.1401	-0.74329	0.36189	1.45001	0.799	1.01135	0.53859	0.41149	-0.56038		
YMR190c	3	35	-0.31637	-1.02006	-0.49229	0.06061	1.8701	1.97063	1.46799	0.2114	-0.06505	-1.59809	-0.61795	-0.2661	0.43759	0.2114	-0.64308	-0.03992	-1.17085		
YJL115w	3	36	-0.06999	0.28558	2.70615	1.37278	-0.39136	-0.48709	-0.75376	-0.91103	-0.35717	-0.97257	-0.97257	1.20184	0.82576	-0.01528	-0.53495	-0.63068	-0.29563		
YDL197c	3	36	0.07492	-0.46774	2.38952	1.66966	0.48468	-0.0912	-0.95502	-0.99932	-0.93288	0.05277	0.82799	0.92766	-0.01368	-0.27947	-0.73353	-1.27619	-0.67816		
YCR065w	3	36	-1.5356	-0.13771	1.83281	1.31071	0.5865	-0.01981	-0.6935	-0.32297	-0.8956	0.0644	1.05808	1.20966	0.92334	-0.22192	-1.06402	-1.04718	-1.04718		
YPL016w	3	36	-1.64919	-1.43639	0.1596	0.85119	1.82652	1.64919	0.78026	0.67386	0.17733	-1.02852	-0.3192	-0.90439	0.46106	0.19506	-0.17733	-0.99306	-0.266		
YBL052c	3	36	-0.89082	-1.71441	-1.76483	-0.31935	1.4791	0.30254	1.42867	0.99167	0.23531	-0.95805	-1.09251	0.11766	1.02528	0.43701	0.55466	0.11766	0.05042		
YBR275c	3	36	-0.92868	-0.27826	1.70258	1.00781	1.45128	-0.38173	-0.72173	-0.20434	-0.95824	0.71216	1.08172	1.0965	0.44608	-0.78086	-0.88433	-1.46084	-0.89912		
YIL126w	3	36	-2.17394	-0.94788	-0.69766	-0.72268	0.90372	2.25489	0.62848	0.60346	0.82866	-0.37238	-0.6226	0.20312	1.02883	0.10303	-0.27229	-0.24727	-0.49749		
YFR037c	3	36	-1.45786	-0.19207	1.49086	1.97992	0.36891	-0.00508	0.35452	-0.00508	-0.40783	-1.45786	-0.98319	0.16753	1.60594	-0.03384	-1.05511	0.25384	-0.62359		
YKL127W	3	37	-1.51351	-1.43761	0.83176	1.78049	-0.46611	-0.12456	-0.18528	-0.48888	-1.10366	0.17144	1.46172	0.78622	0.78622	0.93043	0.32324	-0.60273	-1.1492		
YAR008w	3	38	-1.05606	0.18771	2.73178	0.79703	-0.25829	-0.68544	-0.67916	-0.92414	-0.61006	0.23168	0.85357	0.65884	1.16765	-0.08868	-0.51584	-1.03721	-0.77338		
YER001w	3	38	-1.48932	0.14778	1.61507	1.25804	1.44091	0.03893	-0.35293	-0.94071	-1.45448	-1.3108	0.0607	0.76169	0.84877	0.71815	-0.17006	-0.34857	-0.82316		
YER003c	3	38	-1.50453	-0.88809	1.38564	1.74943	1.38564	-0.08976	0.01129	-0.45356	-1.14073	-0.76683	0.09214	0.7591	1.14311	0.47615	-0.56472	-0.45356	-1.14073		
YDL093w	3	38	-0.21165	-1.28939	1.5459	2.19255	1.26403	0.0039	0.0868	-0.32771	-0.36087	-0.52668	0.3521	0.89926	0.16971	-0.65933	-0.69249	-0.99094	-1.4552		
YIR017c	3	38	-0.80628	-1.11655	-0.40475	1.43863	2.5337	1.7854	-0.423	-0.82453	-0.75152	-0.80628	-0.24049	0.19754	-0.00322	-0.11273	-0.13098	-0.22224	-0.11273		
YKR001c	3	38	-1.91457	-1.53469	-0.42546	0.8965	1.04845	0.66858	0.16714	-1.32196	-0.33429	-1.32196	0.80533	0.82053	1.44352	0.51663	0.13675	0	0.34948		
YDL095w	3	38	-0.14587	-1.01456	0.99133	1.57573	0.65175	-0.69077	-0.73026	-1.1962	-1.00666	0.54119	1.29932	1.6547	0.49381	-0.29591	0.00418	-0.69077	-1.44101		
YNL073w	3	38	0.71455	-0.57332	-0.93902	-0.90722	-1.43191	-1.20931	-0.71642	-1.08212	0.15806	1.35054	1.43004	1.71623	0.87355	0.23756	0.09446	-0.38253	0.66685		
YIL050w	4	41	-1.46188	-1.74081	-1.0435	-0.40198	1.46681	2.02465	0.65793	0.10008	0.10008	-1.07139	-0.82036	0.18376	0.35111	0.74161	0.51847	0.23955	0.15587		
YIL106w	4	42	-1.36396	-1.03654	-1.18537	-1.06631	-0.45611	0.58568	1.56794	1.19587	1.98466	0.1392	-0.06916	-0.56029	-0.75377	-0.0394	1.10658	0.0499	-0.09893		
YBL097w	4	42	-1.81637	-1.08263	-0.96034	-1.02148	1.6689	1.36318	1.42432	0.69058	-0.16545	-0.34889	-0.59347	-0.16545	0.26256	0.93516	0.446	-0.83805	0.20142		
YKL049c	4	42	-1.72573	-1.77645	0.40458	0.92194	1.72334	0.69876	0.0191	-0.35624	-0.97505	-0.85332	-0.4374	0.15097	0.62775	1.24656	0.97266	0.04953	-0.69101		
